epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
132,5699.64,1.12459,1.22357,1.46108,0.77917,0.47104,0.52767,0.33372,1.25129,1.21565,1.5804,5.64618e-05,5.64618e-05,5.64618e-05
133,5741.51,1.12852,1.22258,1.45668,0.68347,0.5121,0.5321,0.33684,1.24947,1.23459,1.58001,5.37096e-05,5.37096e-05,5.37096e-05
134,5781.5,1.11486,1.22579,1.449,0.71702,0.49209,0.54626,0.34631,1.24416,1.21008,1.5808,5.09574e-05,5.09574e-05,5.09574e-05
135,5830.54,1.12276,1.2189,1.45657,0.71331,0.48718,0.55134,0.35059,1.2463,1.2162,1.57642,4.82052e-05,4.82052e-05,4.82052e-05
136,5871.86,1.11448,1.21847,1.45535,0.70361,0.48486,0.54415,0.35217,1.2513,1.22278,1.57948,4.5453e-05,4.5453e-05,4.5453e-05
137,5911.04,1.12074,1.22301,1.44753,0.76232,0.47797,0.53859,0.34597,1.24229,1.21346,1.56818,4.27008e-05,4.27008e-05,4.27008e-05
138,5954.85,1.1099,1.20188,1.44455,0.76744,0.48412,0.54407,0.34736,1.24105,1.2085,1.56794,3.99486e-05,3.99486e-05,3.99486e-05
139,5998.66,1.09762,1.20858,1.44075,0.71228,0.49887,0.54201,0.34811,1.24351,1.20821,1.57367,3.71964e-05,3.71964e-05,3.71964e-05
140,6038.34,1.11226,1.19472,1.44385,0.68821,0.48326,0.53829,0.33938,1.24055,1.21871,1.57064,3.44442e-05,3.44442e-05,3.44442e-05
141,6081.29,1.09549,1.1177,1.43692,0.67261,0.4801,0.53582,0.33322,1.25968,1.23553,1.58091,3.1692e-05,3.1692e-05,3.1692e-05
142,6129.58,1.06208,1.05702,1.41056,0.5971,0.50942,0.52931,0.33764,1.25303,1.22169,1.57336,2.89398e-05,2.89398e-05,2.89398e-05
143,6170.89,1.05712,1.0422,1.40696,0.72602,0.49882,0.53996,0.33848,1.2497,1.21748,1.57097,2.61876e-05,2.61876e-05,2.61876e-05
144,6208.12,1.05498,1.04241,1.40579,0.69505,0.5087,0.54349,0.33853,1.24406,1.2135,1.57215,2.34354e-05,2.34354e-05,2.34354e-05
145,6251.09,1.04557,1.03453,1.40209,0.7089,0.50785,0.54232,0.3387,1.24955,1.2191,1.57314,2.06832e-05,2.06832e-05,2.06832e-05
146,6288.59,1.04213,1.01654,1.38755,0.70755,0.48906,0.5296,0.33887,1.24448,1.21072,1.56971,1.7931e-05,1.7931e-05,1.7931e-05
147,6329.62,1.04431,1.0109,1.39405,0.73634,0.48944,0.53903,0.33834,1.24537,1.2147,1.56331,1.51788e-05,1.51788e-05,1.51788e-05
148,6371.7,1.0395,1.00677,1.38762,0.68569,0.50192,0.54339,0.33789,1.24469,1.21191,1.56466,1.24266e-05,1.24266e-05,1.24266e-05
149,6412.41,1.04166,1.01191,1.38868,0.71814,0.50123,0.54017,0.33838,1.24324,1.20947,1.56716,9.6744e-06,9.6744e-06,9.6744e-06
150,6455.03,1.0352,1.01399,1.38828,0.74229,0.49693,0.5449,0.34173,1.24195,1.20715,1.56661,6.9222e-06,6.9222e-06,6.9222e-06
