epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
104,3353.87,1.34713,1.15702,1.54664,0.7282,0.7334,0.72243,0.38865,1.93959,1.4343,2.15782,0.000272523,0.000272523,0.000272523
105,3385.4,1.32312,1.11787,1.5339,0.71283,0.71742,0.73313,0.39073,1.92381,1.51073,2.11959,0.000269771,0.000269771,0.000269771
106,3417.29,1.31308,1.11004,1.52308,0.70853,0.67434,0.72039,0.38587,1.92795,1.43487,2.1481,0.000267019,0.000267019,0.000267019
107,3448.02,1.31111,1.09464,1.52334,0.74468,0.69042,0.71384,0.38722,1.9522,1.51216,2.18915,0.000264267,0.000264267,0.000264267
108,3480.27,1.30914,1.09474,1.52188,0.80402,0.67571,0.70516,0.3805,1.91087,1.44341,2.12856,0.000261515,0.000261515,0.000261515
109,3510.7,1.33743,1.11925,1.53862,0.74045,0.67179,0.70633,0.38151,1.9359,1.46564,2.17799,0.000258762,0.000258762,0.000258762
110,3547.36,1.33492,1.12219,1.53001,0.6703,0.70858,0.69702,0.38843,1.88502,1.44447,2.10346,0.00025601,0.00025601,0.00025601
111,3577.08,1.3009,1.08951,1.50708,0.69159,0.68831,0.71078,0.38291,1.91059,1.4542,2.13606,0.000253258,0.000253258,0.000253258
112,3610.84,1.31034,1.10346,1.5071,0.69744,0.70055,0.68129,0.3754,1.89152,1.40199,2.10382,0.000250506,0.000250506,0.000250506
113,3640.29,1.29249,1.10228,1.5062,0.72726,0.67996,0.72866,0.39597,1.91222,1.45411,2.12841,0.000247754,0.000247754,0.000247754
114,3673.42,1.28071,1.08735,1.50982,0.68815,0.69403,0.70056,0.38416,1.89923,1.45506,2.11495,0.000245001,0.000245001,0.000245001
115,3703.44,1.27833,1.08076,1.49385,0.71827,0.73767,0.73667,0.39799,1.92632,1.40945,2.13239,0.000242249,0.000242249,0.000242249
116,3736.52,1.27813,1.07919,1.50592,0.67006,0.71911,0.72095,0.40319,1.8861,1.38439,2.13159,0.000239497,0.000239497,0.000239497
117,3766.72,1.27278,1.06774,1.49332,0.68745,0.70317,0.73178,0.40084,1.88948,1.44327,2.12449,0.000236745,0.000236745,0.000236745
118,3799.12,1.2843,1.06656,1.49509,0.70897,0.70003,0.71504,0.39535,1.91914,1.43539,2.14157,0.000233993,0.000233993,0.000233993
119,3829.44,1.27955,1.07178,1.49597,0.78144,0.66273,0.71219,0.38046,1.92493,1.42462,2.13983,0.00023124,0.00023124,0.00023124
120,3865.2,1.26681,1.07275,1.48578,0.70129,0.69802,0.70979,0.39139,1.92684,1.43138,2.14592,0.000228488,0.000228488,0.000228488
121,3897.55,1.26833,1.05871,1.483,0.64704,0.68366,0.70234,0.38569,1.90163,1.42238,2.128,0.000225736,0.000225736,0.000225736
122,3926.32,1.27149,1.05468,1.4904,0.70462,0.70027,0.71073,0.3874,1.96077,1.48207,2.14394,0.000222984,0.000222984,0.000222984
123,3959.29,1.25361,1.05064,1.47808,0.72069,0.69067,0.70589,0.38229,1.91723,1.46589,2.14231,0.000220232,0.000220232,0.000220232
124,3988.43,1.26182,1.04302,1.47288,0.67155,0.69856,0.71988,0.39217,1.9083,1.42146,2.1564,0.000217479,0.000217479,0.000217479
125,4021.02,1.23987,1.03665,1.46801,0.73556,0.66104,0.70635,0.38474,1.94302,1.48166,2.15765,0.000214727,0.000214727,0.000214727
126,4050.92,1.23189,1.03084,1.46715,0.81764,0.63559,0.71882,0.37966,1.93253,1.43189,2.15832,0.000211975,0.000211975,0.000211975
